SUBTERFUGE MAP DIMSNSIONS (IN KM)
==============================================================
No.	 Diag	Hori	Vert	Area	    ΔArea	  Aspect Ratio
--------------------------------------------------------------
2	 2896	1741	2319	4037379		          1.33199
3	 3545	2131	2838	6047778	    2010399	  1.33177
4	 4092	2459	3275	8053225	    2005447	  1.33184
5	 4481	3172	3172	10061584	2008359	  1.00000
6	 4908	3473	3473	12061729	2000145	  1.00000
7	 5301	3751	3751	14070001	2008272	  1.00000
8	 5666	4009	4009	16072081	2002080	  1.00000
9	 6009	4252	4252	18079504	2007423	  1.00000
10	 6334	4482	4482	20088324	2008820	  1.00000
